latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
17.961334,79.591835,262.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_10m (km/h)
2026-09-01T00:00,26.6,72,0.00,9.5
2026-09-01T01:00,26.3,73,0.00,10.5
2026-09-01T02:00,26.1,74,0.00,9.3
2026-09-01T03:00,25.7,76,0.10,9.6
2026-09-01T04:00,25.2,80,0.10,8.7
2026-09-01T05:00,25.0,82,0.00,9.9
2026-09-01T06:00,25.1,81,0.00,12.0
2026-09-01T07:00,26.1,80,0.10,10.0
2026-09-01T08:00,27.6,73,0.00,13.0
2026-09-01T09:00,28.6,66,0.00,17.6
2026-09-01T10:00,29.5,60,0.00,17.8
2026-09-01T11:00,30.3,56,0.00,16.8
2026-09-01T12:00,31.0,52,0.00,16.5
2026-09-01T13:00,31.4,52,0.00,16.0
2026-09-01T14:00,31.3,52,0.00,16.2
2026-09-01T15:00,31.1,54,0.00,15.4
2026-09-01T16:00,30.6,56,0.00,13.3
2026-09-01T17:00,29.9,62,0.00,9.8
2026-09-01T18:00,28.6,68,0.00,7.5
2026-09-01T19:00,28.0,71,0.00,7.9
2026-09-01T20:00,27.4,73,0.00,7.3
2026-09-01T21:00,27.1,75,0.00,6.2
2026-09-01T22:00,26.9,75,0.00,7.7
2026-09-01T23:00,26.7,75,0.00,7.6
2026-09-02T00:00,26.9,74,0.00,8.3
2026-09-02T01:00,27.1,72,0.00,10.7
2026-09-02T02:00,25.5,79,0.40,19.0
2026-09-02T03:00,23.9,93,1.00,11.2
2026-09-02T04:00,24.2,92,0.20,12.5
2026-09-02T05:00,24.2,93,0.30,8.2
2026-09-02T06:00,24.6,91,0.00,11.7
2026-09-02T07:00,25.7,87,0.00,9.8
2026-09-02T08:00,27.5,77,0.00,11.3
2026-09-02T09:00,29.1,69,0.00,15.9
2026-09-02T10:00,30.2,65,0.00,17.3
2026-09-02T11:00,31.0,61,0.00,17.5
2026-09-02T12:00,31.7,58,0.00,17.5
2026-09-02T13:00,31.8,54,0.00,18.6
2026-09-02T14:00,31.7,52,0.00,18.6
